요양기관명,종별,시도,시군구,읍면동,주소,전화번호,홈페이지,개설일자,총의사수,피부과전문의수,좌표X,좌표Y,요양기호
강현철의원,의원,경기,가평군,청평면,"경기도 가평군 청평면 청평중앙로 51, (청평면)",031-584-1165,,36600,1,0,127.4199287,37.738243199999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ3OSQzNjE0ODEjNTEjJDEjJDIjJDgz
건유의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 가화로 47, 건유의원",031-581-7525,,42716,1,0,127.515489,37.824112300000003,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQyIyQzIyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz
김외과의원,의원,경기,가평군,조종면,"경기도 가평군 조종면 현창로 39, (김의과의원)",031-585-2200,,35178,3,0,127.34812669999999,37.818294999999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz
서울가정의학과의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 가화로 121, (가평읍)",031-581-7558,,39542,1,0,127.5132196,37.830559399999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz
설악의원,의원,경기,가평군,설악면,"경기도 가평군 설악면 한서로 9, (설악면)",031-585-8575,,39594,1,0,127.4950126,37.676712799999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz
성모의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 가화로 75, (가평읍)",031-582-1833,,33387,1,0,127.5148705,37.826473300000004,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz
성민의원,의원,경기,가평군,청평면,"경기도 가평군 청평면 청평중앙로 47, 2,3층",031-584-7004,,33647,1,0,127.41970310000001,37.738107800000002,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNTEjJDEjJDIjJDgz
소중한사람들 의원,의원,경기,가평군,청평면,"경기도 가평군 청평면 큰갈월로 226, (청평면)",070-7777-7491,,43311,1,0,127.38458610000001,37.732263099999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ5MiQ0NjE0ODEjNjEjJDEjJDgjJDgz
우리들의원,의원,경기,가평군,설악면,"경기도 가평군 설악면 신천중앙로88번길 1, (설악면)",031-585-2533,,38504,1,0,127.4937771,37.676907999999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNzEjJDEjJDgjJDgz
임내과의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 연인1길 1, 2층",031-581-0675,http://www.drimh.com,37436,1,0,127.5136658,37.829366999999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQyIyQzIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz
천병철내과의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 장터3길 10, 가평메디컬센터 5층",031-582-0075,,41040,1,0,127.51472269999999,37.8304233,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz
청평연세의원,의원,경기,가평군,청평면,"경기도 가평군 청평면 청평중앙로 62, (청평면)",031-584-1895,,38146,1,0,127.4211145,37.738530900000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz
한림의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 석봉로 218, (가평읍)",031-581-8275,,38254,2,0,127.50956979999999,37.8343627,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz
한마음의원,의원,경기,가평군,설악면,"경기도 가평군 설악면 신천중앙로 118, (설악면)",031-584-1551,,45923,1,0,127.4909878,37.678030100000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
현리김창선의원,의원,경기,가평군,조종면,"경기도 가평군 조종면 현창로38번길 4-1, (서울프라자약국)",031-584-9677,,36175,1,0,127.3487671,37.818506599999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz
현리중앙의원,의원,경기,가평군,조종면,"경기도 가평군 조종면 현창로38번길 3, (현리중앙의원)",031-585-2559,,36155,2,0,127.3484893,37.818565999999997,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNjEjJDEjJDgjJDgz
