요양기관명,종별,시도,시군구,읍면동,주소,전화번호,홈페이지,개설일자,총의사수,피부과전문의수,좌표X,좌표Y,요양기호
임내과의원,의원,경기,가평군,가평읍,"경기도 가평군 가평읍 연인1길 1, 2층",031-581-0675,http://www.drimh.com,37436,1,0,127.5136658,37.829366999999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQyIyQzIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz
드림정형외과의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로789번길 7, 2층 201, 202호 (주교동)",964-0594,https://blog.naver.com/osnara20,39856,1,0,126.8356903,37.6568428,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz
라인의원,의원,경기,고양덕양구,토당동,"경기도 고양시 덕양구 중앙로 639, (토당동)",031-974-9700,http://linebeauty.kr/xe/index.php,33340,1,0,126.8275131,37.627364300000004,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz
스타필의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로789번길 6, 3층 (주교동, 중앙빌딩)",031-965-2255,http://www.starfeel.kr,40526,1,0,126.8361094,37.656991400000003,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ5OSQzNjE4MzIjNjEjJDEjJDgjJDgz
엔젤스피부과의원,의원,경기,고양덕양구,,"경기도 고양시 덕양구 꽃마을로 4, 고양향동 퍼스트타워 4층 408호 (향동동)",02-2138-3348,https://angels-skin.com,45726,1,1,126.89241370000001,37.598934399999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
지축다시봄날의원,의원,경기,고양덕양구,지축동,"경기도 고양시 덕양구 지축1로 39, 지축프라자 403~406호 (지축동)",02-2088-5544,https://jc.springdayclinic.com/,44641,1,0,126.9145965,37.648786200000004,JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjODEjJDEjJDIjJDgz
최병문피부과의원,의원,경기,고양덕양구,주교동,"경기도 고양시 덕양구 호국로 787, 원당메디컬프라자 301호 (주교동)",031-965-5800,http://,33546,1,1,126.8358092,37.656624200000003,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQwMyQzNjE0ODEjNTEjJDEjJDYjJDgz
하얀나라피부과의원,의원,경기,고양덕양구,화정동,"경기도 고양시 덕양구 화중로 76, 5층 (화정동, 대감빌딩)",031-972-4333,http://www.white365.co.kr,37662,1,1,126.8311696,37.633903599999996,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz
365엠씨의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 정발산로 43-20, (장항동, 센트럴프라자 808~809호)",031-902-3653,http://www.365mc.co.kr,39330,1,0,126.773416,37.658406399999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz
강의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 중앙로1275번길 38-10, 209호 (장항동, 우림로데오스위트)",031-919-2568,http://www.drkang4u.com,35591,1,0,126.77095989999999,37.659946300000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz
김영숙피부과의원,의원,경기,고양일산동구,백석동,"경기도 고양시 일산동구 중앙로 1124, 상가동 2층 207~209호 (백석동, 흰돌마을1단지아파트)",031-901-3133,http://www.skinkim.net,36738,3,3,126.782724,37.647888999999999,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQxMyQyNjEwMDIjODEjJDEjJDYjJDgz
내안에봄의원,의원,경기,고양일산동구,백석동,"경기도 고양시 일산동구 강송로 33, 1층 A-1102-1호 (백석동, 일산 요진 와이시티)",902-8575,http://lamarilsan.com,40535,1,0,126.79325559999999,37.642978900000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4MiQyNjEwMDIjNDEjJDEjJDQjJDgz
로앤산부인과의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 2층 208호 (장항동)",031-905-2222,mystarclinic.co.kr,43132,3,0,126.77315590000001,37.656721500000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz
미소가인피부과의원,의원,경기,고양일산동구,마두동,"경기도 고양시 일산동구 중앙로 1190, 301~304호 (마두동, 서울타워)",031-901-7603,http://www.misogain.co.kr,40960,1,1,126.7776027,37.653072799999997,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz
산타클로스의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 중앙로1261번길 55, 효산캐슬 303호,304호 (장항동)",031-905-7591,http://www.santaskin.co.kr,40211,1,0,126.7708662,37.657578700000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ4MiQyNjE4MzIjODEjJDEjJDYjJDgz
예스의원,의원,경기,고양일산동구,풍동,"경기도 고양시 일산동구 숲속마을1로 76, (풍동, 힘찬프라자 302호)",031-906-2901,http://,39575,1,0,126.8003854,37.667751299999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4MiQyNjEwMDIjODEjJDEjJDIjJDgz
오킴스피부과의원,의원,경기,고양일산동구,마두동,"경기도 고양시 일산동구 강석로 123, (마두동)",031-902-9333,http://www.ohkimsskin.com/,38243,2,2,126.7788438,37.651850500000002,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNjEjJDEjJDAjJDgz
일산고운세상피부과의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 정발산로 47, 401호 (장항동, 웅신아트)",031-932-8275,http://www.beautyforever.co.kr,38128,2,2,126.7737463,37.657762599999998,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEyMjIjNTEjJDEjJDYjJDgz
일산탑내과의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 중앙로 1193, 마두법조빌딩 401호 (장항동)",031-905-7575,http://ilsantop.com,45149,2,0,126.7766055,37.653098499999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQxMyQyNjE0ODEjNTEjJDEjJDYjJDgz
차앤리성형외과의원,의원,경기,고양일산동구,장항동,"경기도 고양시 일산동구 중앙로 1205, 차움라이프센터 3층 일부-304호 (장항동)",031-906-0033,http://www.zae.co.kr,44005,2,0,126.7757374,37.654131700000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNTEjJDEjJDIjJDgz
김혜숙산부인과의원,의원,경기,고양일산서구,주엽동,"경기도 고양시 일산서구 강선로 49, 208호,209호 (주엽동, 일산비스타오피스텔)",031-915-9243,http://www.ladydoctor.kr/,34823,1,0,126.7633869,37.668764600000003,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjEwMDIjNTEjJDEjJDYjJDgz
다나의원,의원,경기,고양일산서구,탄현동,"경기도 고양시 일산서구 일현로 56, 205호일부호 (탄현동, 삼정프라자)",031-922-7592,http://www.danaclinic.kr/,36977,1,0,126.76373239999999,37.691933800000001,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNjEjJDEjJDQjJDgz
레이퀸의원,의원,경기,고양일산서구,대화동,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 2층 218, 219, 238, 239호 (대화동)",031-918-1234,www.laqueen.co.kr,41876,1,0,126.75119789999999,37.668282900000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDYjJDgz
메디누리미의원,의원,경기,고양일산서구,탄현동,"경기도 고양시 일산서구 일현로 53, (탄현동, 메디누리 2층일부)",031-915-7577,http://mitam.co.kr,41605,1,0,126.76301549999999,37.6919635,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjODEjJDEjJDYjJDgz
민트소아청소년과의원,의원,경기,고양일산서구,덕이동,"경기도 고양시 일산서구 하이파크2로 40, 금문프라자 2층 204호, 205호 (덕이동)",916-1190,http://blog.naver.com/mintclinic,40801,1,0,126.7535604,37.699068799999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz
박세호여성외과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1416, 401호 (주엽동, 한사랑빌딩)",031-911-1135,www.yspsh.co.kr/,38453,1,0,126.76299040000001,37.669813699999999,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz
순정성형외과의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1547, 303호 (대화동, 킨텍스존)",031-913-0075,http://www.soonjeong.com/,38181,1,0,126.7495742,37.674816100000001,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz
실로암정형외과의원,의원,경기,고양일산서구,일산동,"경기도 고양시 일산서구 고봉로 303, 실로암정형외과 1층 (전체)호 (일산동)",031-976-7600,http://,44722,2,0,126.7772234,37.686321499999998,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQ3IyQwMCQzNjEyMjIjNzEjJDEjJDgjJDgz
예지안의원,의원,경기,고양일산서구,,"경기도 고양시 일산서구 중앙로 1426, (주엽동, 일송노블레스 303,304,313호)",031-925-4824,http://www.yejian.co.kr,38286,1,0,126.76196590000001,37.670281600000003,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
