등급,요양기관명,시도,시군구,전화,홈페이지,후크,문의폼,카카오채널,방침페이지,HTTP,점검일
1,일산이지함피부과의원,경기,고양일산서구,031-916-5300,http://www.ljh.co.kr/sub01_05_06_02.php,홈페이지 HTTP 400 오류 — 검색 유입이 오류 화면,0,,,400,2026-08-06
1,조은피부과의원,경기,과천시,02-503-3118,http://www.joeunskin.co.kr/,홈페이지 HTTP 522 오류 — 검색 유입이 오류 화면,0,,,522,2026-08-06
1,미소가인피부과의원,경기,김포시,031-989-5071,http://www.misogain.co.kr/intro/kimpo/map.jsp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,다산우리내과의원,경기,남양주시,031-555-2119,https://www.dasanwoori.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,우리들가정의원,경기,부천원미구,032-342-0147,http://www.our-clinic.co.kr/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,참사랑 의료소비자생활협동조합 참사랑의원,경기,부천원미구,032-329-4475,http://www.gangnam-top.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,길맨비뇨기과의원,경기,성남분당구,783-8880,http://www.gilman.co.kr/sub/sub_list_05.php,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,닥터지피부과의원,경기,성남분당구,031-705-4476,http://bd.yeinskin.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,구광모항외과의원,경기,수원팔달구,031-207-2111,http://www.sghang.com/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,연세비뇨기과의원,경기,시흥시,031-313-0111,http://yonseiuro.co.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,하이맨비뇨기과의원,경기,안산단원구,031-410-7540,http://www.highman.co.kr/html/01_highman/highman_03.php?ppc=POS004,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,안양피부과의원,경기,안양만안구,031-388-2561,http://www.anyangskin.co.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,에스앤비의원,경기,안양만안구,031-465-7277,http://www.chandbeauty.com/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,서울내과의원,경기,용인처인구,031-333-2237,http://seoulim.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,서울외과의원,경기,이천시,633-1122,http://www.seoulop.kr/,SSL 인증서 만료 — 사이트 진입 차단,,,,,2026-08-06
1,오늘도365의원,경기,파주시,1800-1197,http://www.ohneuldo.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,메가비뇨의학과의원,경기,평택시,,https://megauro-pt.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,제일비뇨기과의원,경기,평택시,031-657-1133,http://www.pjuro.com/main,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,중앙신경외과의원,경기,포천시,031-533-7784,http://www.nsdrlee.co.kr/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,하나이비인후과의원,경기,화성동탄구,031-8015-0061,http://www.dthana.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,김태욱외과의원,서울,강남구,02-578-9881,http://www.tpclinic.net/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,닥터손유나의원,서울,강남구,02-3443-1117,http://yssynclinic.cafe24.com/www/index.php,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,디유성형외과의원,서울,강남구,02-562-0507,https://www.duprs.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,리앤웰성형외과의원,서울,강남구,02-6228-6886,https://www.reandwell.com/,SSL 오류(ERR_CERT_REVOKED) — 사이트 진입 차단,,,,,2026-08-06
1,마이어스의원,서울,강남구,02-544-4913,http://myers.co.kr/xe/index.php,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,1,,,404,2026-08-06
1,미파문피부과의원,서울,강남구,02-564-2065,http://mifamoon.com/moon/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,신사멜로우피부과의원,서울,강남구,02-548-5007,https://doctormellow-ss.com/,SSL 오류(ERR_CERT_AUTHORITY_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,압구정하나내과의원,서울,강남구,02-3443-7550,https://www.agjhana.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,에스앤유김방순피부과의원,서울,강남구,3444-3939,http://www.snuclinic.co.kr/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,에프아이성형외과의원,서울,강남구,02-543-4766,http://paranps.cafe24.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,예라인의원,서울,강남구,02-6951-0071,https://ylcell.com/,SSL 인증서 만료 — 사이트 진입 차단,,,,,2026-08-06
1,하늘느낌피부과의원,서울,강남구,02-511-8035,http://skyfeel.co.kr/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,강동아이비의원,서울,강동구,02-484-7525,http://gangdongivy.kr/?page_id=2,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,기린비뇨의학과의원,서울,강동구,02-487-9200,http://www.gilman.co.kr/sub/sub_list_04.php,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,라임의원,서울,강동구,02-442-2119,https://www.gd-lime.com/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,멜로우피부과의원,서울,강동구,02-487-8733,https://doctormellow-ch.com/,SSL 오류(ERR_CERT_AUTHORITY_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,천호이지함피부과의원,서울,강동구,02-485-9700,http://ljh.co.kr/sub01_05_07_05.php,홈페이지 HTTP 400 오류 — 검색 유입이 오류 화면,0,,,400,2026-08-06
1,킴스피부과의원,서울,강동구,02-487-7542,https://cheonho.hushuskin.com/,SSL 인증서 만료 — 사이트 진입 차단,,,,,2026-08-06
1,미래소아청소년과의원,서울,강북구,02-987-7015,http://ansoa.mdrline.net/Module/DoctorInfo/DoctorInfo.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,김현영산부인과의원,서울,강서구,02-2699-5225,http://dryoung.or.kr/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,셀앤케이의원,서울,강서구,,https://www.cellnk.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,오라클피부과의원(화곡점),서울,강서구,02-2605-1175,http://www.skinland.com/sub10/_areaInfo.php?area=%EC%84%9C%EC%9A%B8%20%ED%99%94%EA%B3%A1%EC%A0%90,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,삼성드림안과의원,서울,구로구,02-855-8301,http://www.dreameye.co.kr/,홈페이지 HTTP 503 오류 — 검색 유입이 오류 화면,0,,,503,2026-08-06
1,성재의원,서울,구로구,02-2625-7533,http://sjclinic.com/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,연세닥터스내과의원,서울,금천구,02-862-8300,http://simonch1.drline.net/index.asp,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,강북이지함피부과의원,서울,노원구,939-4700,http://www.ljh.co.kr/index.php,홈페이지 HTTP 400 오류 — 검색 유입이 오류 화면,0,,,400,2026-08-06
1,성모예스내과의원,서울,동대문구,02-6949-0030,https://www.smyesclinic.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,김앤방여성의원,서울,동작구,02-815-5331,http://kimandbang.com/,홈페이지 HTTP 403 오류 — 검색 유입이 오류 화면,0,,,403,2026-08-06
1,에코이비인후과의원,서울,동작구,02-814-8899,http://www.eco-clinic.com/,홈페이지 HTTP 404 오류 — 검색 유입이 오류 화면,0,,,404,2026-08-06
1,합정제이엠가정의학과의원,서울,마포구,02-2138-1174,https://www.scjm.co.kr/hapjeong/,SSL 인증서 만료 — 사이트 진입 차단,,,,,2026-08-06
1,라온비뇨의학과의원,서울,서대문구,02-365-5671,https://www.raonuro.co.kr/,SSL 오류(ERR_CERT_AUTHORITY_INVALID) — 사이트 진입 차단,,,,,2026-08-06
1,마이라인성형외과의원,서울,서초구,,https://mylineps.com/,SSL 오류(ERR_CERT_COMMON_NAME_INVALID) — 사이트 진입 차단,,,,,2026-08-06
