우선순위,결함수,요양기관명,시도,시군구,전화,홈페이지,방침페이지(여기서 확인),문의폼,후크,이메일,확인일,비고
2,4,아이비의원,경기,부천오정구,032-671-4475,http://www.ibplastic.co.kr/,http://www.ibplastic.co.kr/main.php?m1=member&m2=private,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2015 — 방치 인상,ibplastic@naver.com,2026-08-06,푸터/본문
2,4,아름다운의료생활협동조합아름다운s의원,경기,부천원미구,032-614-3344,http://www.beautyss.kr/,http://www.beautyss.kr/sub00_04.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2015 — 방치 인상,beauty_sss@naver.com,2026-08-06,푸터/본문
2,4,정다운산부인과의원,경기,성남수정구,031-747-9944,http://www.jkygo.co.kr/,http://www.jkygo.co.kr/sub07/sub07_01.html?uid=15,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2015 — 방치 인상,,2026-08-06,이메일 미발견
2,4,탑라인의원,경기,성남중원구,031-722-2204,http://www.topline21.com/,http://www.topline21.com/new2019/member/join.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2019 — 방치 인상,,2026-08-06,이메일 미발견
2,4,JY피부과의원,경기,수원장안구,031-303-1002,http://www.jyskin.kr/,http://www.jyskin.kr/07_community/comm1.html,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2009 — 방치 인상,tech@eurekanet.co.kr,2026-08-06,대표계정 형태 — 확인 권장 / 방침페이지
2,4,김준범성형외과의원,경기,시흥시,031-488-9100,http://www.facebeauty.co.kr/,http://www.facebeauty.co.kr/memberjoins/personInfoPolicy,2,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2015 — 방치 인상,,2026-08-06,이메일 미발견
2,4,크리스마스의원,경기,용인기흥구,1644-1225,http://www.nunco.co.kr/,http://www.nunco.co.kr/www/contents.php?inc=privacy.php,0,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2016 — 방치 인상,ckatm89@naver.com,2026-08-06,방침페이지
2,4,벧엘피부과의원,서울,강남구,02-532-3110,http://bethelskin.com/,http://bethelskin.com/privacy,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2013 — 방치 인상,,2026-08-06,이메일 미발견
2,4,비아이오성형외과의원,서울,강남구,02-535-9000,http://www.biops.kr/,http://biopskorea.com/member/policy_privacy.html,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2019 — 방치 인상,bio@biops.kr,2026-08-06,방침페이지
2,4,서울배내과의원,서울,강남구,02-529-3002,http://doctorbae.co.kr/,http://doctorbae.co.kr/member/privacy.php,1,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,,2026-08-06,이메일 미발견
