판정,요양기관명,시도,시군구,전화,등록홈페이지,살아있는주소,후크,문의폼,카카오채널,방침페이지,검증일
CONFIRMED,일산이지함피부과의원,경기,고양일산서구,031-916-5300,http://www.ljh.co.kr/sub01_05_06_02.php,,"홈페이지 접속 불가 — HTTP 400 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,조은피부과의원,경기,과천시,02-503-3118,http://www.joeunskin.co.kr/,,"홈페이지 접속 불가 — HTTP 522 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,미소가인피부과의원,경기,김포시,031-989-5071,http://www.misogain.co.kr/intro/kimpo/map.jsp,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,우리들가정의원,경기,부천원미구,032-342-0147,http://www.our-clinic.co.kr/,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,참사랑 의료소비자생활협동조합 참사랑의원,경기,부천원미구,032-329-4475,http://www.gangnam-top.com/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,길맨비뇨기과의원,경기,성남분당구,783-8880,http://www.gilman.co.kr/sub/sub_list_05.php,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,닥터지피부과의원,경기,성남분당구,031-705-4476,http://bd.yeinskin.com/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,구광모항외과의원,경기,수원팔달구,031-207-2111,http://www.sghang.com/index.asp,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,연세비뇨기과의원,경기,시흥시,031-313-0111,http://yonseiuro.co.kr/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,하이맨비뇨기과의원,경기,안산단원구,031-410-7540,http://www.highman.co.kr/html/01_highman/highman_03.php?ppc=POS004,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,안양피부과의원,경기,안양만안구,031-388-2561,http://www.anyangskin.co.kr/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,에스앤비의원,경기,안양만안구,031-465-7277,http://www.chandbeauty.com/index.asp,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,서울외과의원,경기,이천시,633-1122,http://www.seoulop.kr/,,"홈페이지 접속 차단 — 보안 인증서 오류(ERR_CERT_DATE_INVALID). www·apex, http·https 4가지 경로 모두 실패",,,,2026-08-06
CONFIRMED,제일비뇨기과의원,경기,평택시,031-657-1133,http://www.pjuro.com/main,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,중앙신경외과의원,경기,포천시,031-533-7784,http://www.nsdrlee.co.kr/,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,하나이비인후과의원,경기,화성동탄구,031-8015-0061,http://www.dthana.com/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,김태욱외과의원,서울,강남구,02-578-9881,http://www.tpclinic.net/index.asp,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,닥터손유나의원,서울,강남구,02-3443-1117,http://yssynclinic.cafe24.com/www/index.php,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,디유성형외과의원,서울,강남구,02-562-0507,https://www.duprs.com/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,마이어스의원,서울,강남구,02-544-4913,http://myers.co.kr/xe/index.php,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",1,,,2026-08-06
CONFIRMED,미파문피부과의원,서울,강남구,02-564-2065,http://mifamoon.com/moon/,,"홈페이지 접속 불가 — HTTP 404 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
CONFIRMED,에스앤유김방순피부과의원,서울,강남구,3444-3939,http://www.snuclinic.co.kr/,,"홈페이지 접속 차단 — 보안 인증서 오류(ERR_CERT_COMMON_NAME_INVALID). www·apex, http·https 4가지 경로 모두 실패",,,,2026-08-06
CONFIRMED,에프아이성형외과의원,서울,강남구,02-543-4766,http://paranps.cafe24.com/,,"홈페이지 접속 불가 — HTTP 403 오류. www·apex, http·https 4가지 경로 모두 실패",0,,,2026-08-06
